ID	naam image	Genus	species (& subtaxa)	O(rchid. Cat.) nr.	land van herkomst	locatie	cultuur	veldcollectie	bijzonderheden	dag/maand	jaar	foto gemaakt door	afgebeeld	overige bijzonderheden; (belangrijke) synoniemen
4120		Aspasia	variegata Lindl.	"4118, 4119, 4120"	[Brazilië; Rondônia]		Botanische Tuinen Universiteit Utrecht 00ZW10814 ['86]	[P.J.M. & H. Maas 396]		2-Jan	1974	L.Y.Th. Westra & A. Kuiper	"hab1, 2x det1"
3119		Octomeria	grandiflora Lindl.	"3118, 3119, 3120"	[Suriname]		"J.M. Wubben, Hollandsche Rading"			15/07	1972	L.Y.Th. Westra	"hab1, 2x det1"
3120		Octomeria	grandiflora Lindl.	"3118, 3119, 3120"	[Suriname]		"J.M. Wubben, Hollandsche Rading"			15/07	1972	L.Y.Th. Westra	"hab1, 2x det1"
7333		Octomeria	grandiflora Lindl.	"7333, 7334"			"J.M. Wubben, Hollandsche Rading"			3-Oct	1979	L.Y.Th. Westra	"hab1, det1"
7334		Octomeria	grandiflora Lindl.	"7333, 7334"			"J.M. Wubben, Hollandsche Rading"			3-Oct	1979	L.Y.Th. Westra	"hab1, det1"
5294		Octomeria	integrilabia C.Schweinf.	"5294, 5295, 5296"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5295		Octomeria	integrilabia C.Schweinf.	"5294, 5295, 5296"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5296		Octomeria	integrilabia C.Schweinf.	"5294, 5295, 5296"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
8433		Octomeria	integrilabia C.Schweinf.	"8433, 8434, 8435"	[Guyana]		Botanische Tuinen Universiteit Utrecht 00ZW11639 ['86]	"[P.J.M. Maas & J.H. Snuverink, 1979]"		3-Jun	1981	L.Y.Th. Westra	"hab1, 2x det1"
8435		Octomeria	integrilabia C.Schweinf.	"8433, 8434, 8435"	[Guyana]		Botanische Tuinen Universiteit Utrecht 00ZW11639 ['86]	"[P.J.M. Maas & J.H. Snuverink, 1979]"		3-Jun	1981	L.Y.Th. Westra	"hab1, 2x det1"
4174		Octomeria	linearifolia Barb.Rodr.	"4174, 4175, 4176"			"J.M. Wubben, Hollandsche Rading"			19/01	1974	L.Y.Th. Westra	"hab1, 2x det1"
4175		Octomeria	linearifolia Barb.Rodr.	"4174, 4175, 4176"			"J.M. Wubben, Hollandsche Rading"			19/01	1974	L.Y.Th. Westra	"hab1, 2x det1"
5253		Octomeria	minor C.Schweinf.	"5253, 5254, 5255"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		15/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5254		Octomeria	minor C.Schweinf.	"5253, 5254, 5255"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		15/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5255		Octomeria	minor C.Schweinf.	"5253, 5254, 5255"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		15/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
4132		Octomeria	palmyrabellae Barb.Rodr.	"4132, 4133, 4134"			Botanische Tuinen Universiteit Utrecht 00ZW10562			28/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
4133		Octomeria	palmyrabellae Barb.Rodr.	"4132, 4133, 4134"			Botanische Tuinen Universiteit Utrecht 00ZW10562			28/12	1973	L.Y.Th. Westra	"hab1, 2x det1"
8288		Octomeria	palmyrabellae Barb.Rodr.	"8288, 8289, 8290"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/11	1980	L.Y.Th. Westra	"hab1, 2x det1"
8289		Octomeria	palmyrabellae Barb.Rodr.	"8288, 8289, 8290"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/11	1980	L.Y.Th. Westra	"hab1, 2x det1"
2936		Octomeria	surinamensis Focke	"2936, 2937"			Cantonspark Baarn 10782	[Prance 12038 <in>]		28/04	1972	L.Y.Th. Westra & A. Kuiper	"hab1, det1"
2937		Octomeria	surinamensis Focke	"2936, 2937"			Cantonspark Baarn 10782	[Prance 12038 <in>]		28/04	1972	L.Y.Th. Westra & A. Kuiper	"hab1, det1"
5641		Octomeria	taracuana Schltr.	"5641, 5642, 5643"	[Suriname?]		"J.M. Wubben, Hollandsche Rading"			13/06	1976	L.Y.Th. Westra	"hab1, 2x det1"
5642		Octomeria	taracuana Schltr.	"5641, 5642, 5643"	[Suriname?]		"J.M. Wubben, Hollandsche Rading"			13/06	1976	L.Y.Th. Westra	"hab1, 2x det1"
1318		Ornithocephalus	bicornis Lindl.	"1318, 1319, 1320"	[Costa Rica]		Botanische Tuinen Universiteit Utrecht 00ZW10024			13/09	1968	L.Y.Th. Westra	"hab1, 2 det1"
1319		Ornithocephalus	bicornis Lindl.	"1318, 1319, 1320"	[Costa Rica]		Botanische Tuinen Universiteit Utrecht 00ZW10024			13/09	1968	L.Y.Th. Westra	"hab1, 2 det1"
2284		Paphiopedilum	glaucophyllum J.J.Sm.	"2284, 2285, 2286"			"J.M. Wubben, Hollandsche Rading"			27+28/03	1971	L.Y.Th. Westra	"hab1, 2x det1"
5145		Physosiphon	parahybunensis (Barb.Rodr.) Cogn.	"5145, 5146, 5147"			"hr. Cornelissen, Eindhoven"		labellum ñ I/II	23/08	1975	L.Y.Th. Westra	"hab1, 2x det1"
5147		Physosiphon	parahybunensis (Barb.Rodr.) Cogn.	"5145, 5146, 5147"			"hr. Cornelissen, Eindhoven"		labellum ñ I/II	23/08	1975	L.Y.Th. Westra	"hab1, 2x det1"
2825		Physosiphon	tubatus (Lodd.) Rchb.f.	"2825, 2826, 2828, 2828"			"J.M. Wubben, Hollandsche Rading"			3-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2826		Physosiphon	tubatus (Lodd.) Rchb.f.	"2825, 2826, 2828, 2828"			"J.M. Wubben, Hollandsche Rading"			3-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2828		Physosiphon	tubatus (Lodd.) Rchb.f.	"2825, 2826, 2828, 2828"			"J.M. Wubben, Hollandsche Rading"			3-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
2828		Physosiphon	tubatus (Lodd.) Rchb.f.	"2825, 2826, 2828, 2828"			"J.M. Wubben, Hollandsche Rading"			3-Dec	1972	L.Y.Th. Westra	"hab1, 3x det1"
8561		Platystele		"8561, 8562, 8563"			"J.M. Wubben, Hollandsche Rading"			5-Feb	1981	L.Y.Th. Westra	"hab1, 2x det1"
8562		Platystele		"8561, 8562, 8563"			"J.M. Wubben, Hollandsche Rading"			5-Feb	1981	L.Y.Th. Westra	"hab1, 2x det1"
5826		Platystele	lancilabris (Rchb.f.) Schltr.	"5826, 5827, 5828"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		10-Feb	1976	L.Y.Th. Westra	"hab1, 2x det1"
5827		Platystele	lancilabris (Rchb.f.) Schltr.	"5826, 5827, 5828"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		10-Feb	1976	L.Y.Th. Westra	"hab1, 2x det1"
2604		Platystele	ovalifolia (Focke) Garay & Dunst.	"2604, 2605, 2606; 4275"			"J.M. Wubben, Hollandsche Rading"			30/10; 16/03	1971; 1974	L.Y.Th. Westra	"hab1, 2x det1; hab1"
2605		Platystele	ovalifolia (Focke) Garay & Dunst.	"2604, 2605, 2606; 4275"			"J.M. Wubben, Hollandsche Rading"			30/10; 16/03	1971; 1974	L.Y.Th. Westra	"hab1, 2x det1; hab1"
2606		Platystele	ovalifolia (Focke) Garay & Dunst.	"2604, 2605, 2606; 4275"			"J.M. Wubben, Hollandsche Rading"			30/10; 16/03	1971; 1974	L.Y.Th. Westra	"hab1, 2x det1; hab1"
6163		Platystele	oxyglossa (Schltr.) Garay	"6163, 6164, 6165"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			23/04	1977	L.Y.Th. Westra	"hab1, 2x det1"
6164		Platystele	oxyglossa (Schltr.) Garay	"6163, 6164, 6165"	[Ecuador]		"J.M. Wubben, Hollandsche Rading"			23/04	1977	L.Y.Th. Westra	"hab1, 2x det1"
2231		Platystele	stenostachya (Rchb.f.) Garay	"2231, 2232, 2233"			"J.M. Wubben, Hollandsche Rading"			27/02	1971	L.Y.Th. Westra	"hab1, 2x det1"
2232		Platystele	stenostachya (Rchb.f.) Garay	"2231, 2232, 2233"			"J.M. Wubben, Hollandsche Rading"			27/02	1971	L.Y.Th. Westra	"hab1, 2x det1"
2233		Platystele	stenostachya (Rchb.f.) Garay	"2231, 2232, 2233"			"J.M. Wubben, Hollandsche Rading"			27/02	1971	L.Y.Th. Westra	"hab1, 2x det1"
3740		Platystele	stenostachya (Rchb.f.) Garay	"3740, 3741, 3742"			"J.M. Wubben, Hollandsche Rading"			16/06	1973	L.Y.Th. Westra	"hab1, 2x det1"
3741		Platystele	stenostachya (Rchb.f.) Garay	"3740, 3741, 3742"			"J.M. Wubben, Hollandsche Rading"			16/06	1973	L.Y.Th. Westra	"hab1, 2x det1"
1750		Pleurobotryum	crepinianum (Cogn.) Hoehne	"1750, 1751, 1752; 4837"			"M.A. de Rico Consuelo-Knoppe, Driebergen"			26/02; 28/03	1970; 1975	L.Y.Th. Westra	"hab1, 2x det1; det2"	Pleurothallis crepinana Cogn.
1751		Pleurobotryum	crepinianum (Cogn.) Hoehne	"1750, 1751, 1752; 4837"			"M.A. de Rico Consuelo-Knoppe, Driebergen"			26/02; 28/03	1970; 1975	L.Y.Th. Westra	"hab1, 2x det1; det2"	Pleurothallis crepinana Cogn.
1752		Pleurobotryum	crepinianum (Cogn.) Hoehne	"1750, 1751, 1752; 4837"			"M.A. de Rico Consuelo-Knoppe, Driebergen"			26/02; 28/03	1970; 1975	L.Y.Th. Westra	"hab1, 2x det1; det2"	Pleurothallis crepinana Cogn.
2306		Pleurobotryum	hatschbachii (Schltr.) Hoehne	"2306, 2307, 2308, 2309"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	4-Nov	1971	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hatschbachii Schltr.
2307		Pleurobotryum	hatschbachii (Schltr.) Hoehne	"2306, 2307, 2308, 2309"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	4-Nov	1971	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hatschbachii Schltr.
2308		Pleurobotryum	hatschbachii (Schltr.) Hoehne	"2306, 2307, 2308, 2309"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	4-Nov	1971	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hatschbachii Schltr.
2309		Pleurobotryum	hatschbachii (Schltr.) Hoehne	"2306, 2307, 2308, 2309"			"J.M. Wubben, Hollandsche Rading"		labellum I/II	4-Nov	1971	L.Y.Th. Westra	"hab1, 3x det1"	Pleurothallis hatschbachii Schltr.
1051		Pleurothallis		"1051, 1052, 1053"			Cantonspark Baarn 10074			9-Aug	1967	L.Y.Th. Westra	"hab1, 2x det1"
1052		Pleurothallis		"1051, 1052, 1053"			Cantonspark Baarn 10074			9-Aug	1967	L.Y.Th. Westra	"hab1, 2x det1"
1053		Pleurothallis		"1051, 1052, 1053"			Cantonspark Baarn 10074			9-Aug	1967	L.Y.Th. Westra	"hab1, 2x det1"
1073		Pleurothallis		"1073, 1074, 1075"			Cantonspark Baarn 10097			10-Jun	1967	L.Y.Th. Westra	"hab1, 2x det1"
1074		Pleurothallis		"1073, 1074, 1075"			Cantonspark Baarn 10097			10-Jun	1967	L.Y.Th. Westra	"hab1, 2x det1"
1075		Pleurothallis		"1073, 1074, 1075"			Cantonspark Baarn 10097			10-Jun	1967	L.Y.Th. Westra	"hab1, 2x det1"
1113		Pleurothallis		"1113, 1114, 1115"			Cantonspark Baarn 10088			26+27/01	1968	L.Y.Th. Westra	"hab1, 2 det1"
1114		Pleurothallis		"1113, 1114, 1115"			Cantonspark Baarn 10088			26+27/01	1968	L.Y.Th. Westra	"hab1, 2 det1"
1115		Pleurothallis		"1113, 1114, 1115"			Cantonspark Baarn 10088			26+27/01	1968	L.Y.Th. Westra	"hab1, 2 det1"
1289		Pleurothallis		"1289, 1290, 1291"			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			20/08	1968	L.Y.Th. Westra	"hab1, 2x det1"	niet geverifieerd
1290		Pleurothallis		"1289, 1290, 1291"			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			20/08	1968	L.Y.Th. Westra	"hab1, 2x det1"	niet geverifieerd
1291		Pleurothallis		"1289, 1290, 1291"			"M.A. de Rico Consuelo-Knoppe, Driebergen ? of J.M. Wubben, Hollandsche Rading"			20/08	1968	L.Y.Th. Westra	"hab1, 2x det1"	niet geverifieerd
1490		Pleurothallis		"1490, 1491, 1492; 1925"			Cantonspark Baarn 2592			09/06; 26/06	1969; 1970	L.Y.Th. Westra	"hab1, 2x det1; hab1"
1491		Pleurothallis		"1490, 1491, 1492; 1925"			Cantonspark Baarn 2592			09/06; 26/06	1969; 1970	L.Y.Th. Westra	"hab1, 2x det1; hab1"
1492		Pleurothallis		"1490, 1491, 1492; 1925"			Cantonspark Baarn 2592			09/06; 26/06	1969; 1970	L.Y.Th. Westra	"hab1, 2x det1; hab1"
2061		Pleurothallis		"2061, 2062, 2063"			"L.M.C. de Lange-van Aalderen, Bilthoven"			13/10	1970	L.Y.Th. Westra	"hab1, 2x det1"	zie P. grobyi complex
2062		Pleurothallis		"2061, 2062, 2063"			"L.M.C. de Lange-van Aalderen, Bilthoven"			13/10	1970	L.Y.Th. Westra	"hab1, 2x det1"	zie P. grobyi complex
2063		Pleurothallis		"2061, 2062, 2063"			"L.M.C. de Lange-van Aalderen, Bilthoven"			13/10	1970	L.Y.Th. Westra	"hab1, 2x det1"	zie P. grobyi complex
2544		Pleurothallis		"2544, 2545, 2546, 2547"			Cantonspark Baarn 10634			29/09	1971	L.Y.Th. Westra	"hab1, 3x det1"
2545		Pleurothallis		"2544, 2545, 2546, 2547"			Cantonspark Baarn 10634			29/09	1971	L.Y.Th. Westra	"hab1, 3x det1"
2546		Pleurothallis		"2544, 2545, 2546, 2547"			Cantonspark Baarn 10634			29/09	1971	L.Y.Th. Westra	"hab1, 3x det1"
2547		Pleurothallis		"2544, 2545, 2546, 2547"			Cantonspark Baarn 10634			29/09	1971	L.Y.Th. Westra	"hab1, 3x det1"
3451		Pleurothallis		"3451, 3452, 3453, 3454"			"J.M. Wubben, Hollandsche Rading"			23/12	1972	L.Y.Th. Westra	"hab1, 3x det1"
3452		Pleurothallis		"3451, 3452, 3453, 3454"			"J.M. Wubben, Hollandsche Rading"			23/12	1972	L.Y.Th. Westra	"hab1, 3x det1"
3453		Pleurothallis		"3451, 3452, 3453, 3454"			"J.M. Wubben, Hollandsche Rading"			23/12	1972	L.Y.Th. Westra	"hab1, 3x det1"
3454		Pleurothallis		"3451, 3452, 3453, 3454"			"J.M. Wubben, Hollandsche Rading"			23/12	1972	L.Y.Th. Westra	"hab1, 3x det1"
3588		Pleurothallis		"3588, 3589, 3590, 3591"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			17/03	1973	L.Y.Th. Westra	"hab1, 3x det1"
3589		Pleurothallis		"3588, 3589, 3590, 3591"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			17/03	1973	L.Y.Th. Westra	"hab1, 3x det1"
3590		Pleurothallis		"3588, 3589, 3590, 3591"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			17/03	1973	L.Y.Th. Westra	"hab1, 3x det1"
3591		Pleurothallis		"3588, 3589, 3590, 3591"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			17/03	1973	L.Y.Th. Westra	"hab1, 3x det1"
3696		Pleurothallis		"3696, 3697, 3698"			"J.M. Wubben, Hollandsche Rading"			5-Dec	1973	L.Y.Th. Westra	"hab1, 2x det1"	NB nog opgeborgen sub Physosiphon
3697		Pleurothallis		"3696, 3697, 3698"			"J.M. Wubben, Hollandsche Rading"			5-Dec	1973	L.Y.Th. Westra	"hab1, 2x det1"	NB nog opgeborgen sub Physosiphon
3793		Pleurothallis		"3793, 3794, 3795, 3796"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/07	1973	L.Y.Th. Westra	"hab1, 3x det1"
3794		Pleurothallis		"3793, 3794, 3795, 3796"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/07	1973	L.Y.Th. Westra	"hab1, 3x det1"
3795		Pleurothallis		"3793, 3794, 3795, 3796"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			22/07	1973	L.Y.Th. Westra	"hab1, 3x det1"
3900		Pleurothallis		"3900, 3901, 3902"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			9-Sep	1973	L.Y.Th. Westra	"hab1, 2x det1"
3901		Pleurothallis		"3900, 3901, 3902"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			9-Sep	1973	L.Y.Th. Westra	"hab1, 2x det1"
4091		Pleurothallis		"4091, 4092, 4093, 4094"			"J.M. Wubben, Hollandsche Rading"		labellum I/ñII	12-Aug	1973	L.Y.Th. Westra	"hab1, 3x det1"
4092		Pleurothallis		"4091, 4092, 4093, 4094"			"J.M. Wubben, Hollandsche Rading"		labellum I/ñII	12-Aug	1973	L.Y.Th. Westra	"hab1, 3x det1"
4247		Pleurothallis		"4247, 4248, 4249 p.p."			"J.M. Wubben, Hollandsche Rading"			27/02	1974	L.Y.Th. Westra	"hab1, 2x det1"
4272		Pleurothallis		"4272, 4273, 4274"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			16/03	1974	L.Y.Th. Westra	"hab1, 2x det1"
4274		Pleurothallis		"4272, 4273, 4274"	[Brazilië]		"J.M. Wubben, Hollandsche Rading"			16/03	1974	L.Y.Th. Westra	"hab1, 2x det1"
4814		Pleurothallis		"4814, 4815, 4816, 4817"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/03	1975	L.Y.Th. Westra	"hab3, 2x det1, det2"
4815		Pleurothallis		"4814, 4815, 4816, 4817"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/03	1975	L.Y.Th. Westra	"hab3, 2x det1, det2"
4816		Pleurothallis		"4814, 4815, 4816, 4817"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/03	1975	L.Y.Th. Westra	"hab3, 2x det1, det2"
4817		Pleurothallis		"4814, 4815, 4816, 4817"	[Peru]		"J.M. Wubben, Hollandsche Rading"			22/03	1975	L.Y.Th. Westra	"hab3, 2x det1, det2"
5054		Pleurothallis		"5054, 5055, 5056, 5057"			Cantonspark Baarn 11061			21/07	1975	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
5055		Pleurothallis		"5054, 5055, 5056, 5057"			Cantonspark Baarn 11061			21/07	1975	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
5057		Pleurothallis		"5054, 5055, 5056, 5057"			Cantonspark Baarn 11061			21/07	1975	L.Y.Th. Westra & A. Kuiper	"hab1, 3x det1"
5232		Pleurothallis		"5232, 5233, 5234; 6566, 6567, 6568, 6569"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"	labellum I/II (6566-6569)	01/11; 22/10	1975; 1977	L.Y.Th. Westra	"hab1, 2x det1; hab1, 3x det1"	Trichosalpinx
5233		Pleurothallis		"5232, 5233, 5234; 6566, 6567, 6568, 6569"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"	labellum I/II (6566-6569)	01/11; 22/10	1975; 1977	L.Y.Th. Westra	"hab1, 2x det1; hab1, 3x det1"	Trichosalpinx
5234		Pleurothallis		"5232, 5233, 5234; 6566, 6567, 6568, 6569"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"	labellum I/II (6566-6569)	01/11; 22/10	1975; 1977	L.Y.Th. Westra	"hab1, 2x det1; hab1, 3x det1"	Trichosalpinx
5238		Pleurothallis		"5238, 5239, 5240"			"J.M. Wubben, Hollandsche Rading"			11-Aug	1975	L.Y.Th. Westra	"hab1, 2x det1"
5239		Pleurothallis		"5238, 5239, 5240"			"J.M. Wubben, Hollandsche Rading"			11-Aug	1975	L.Y.Th. Westra	"hab1, 2x det1"
5240		Pleurothallis		"5238, 5239, 5240"			"J.M. Wubben, Hollandsche Rading"			11-Aug	1975	L.Y.Th. Westra	"hab1, 2x det1"
5263		Pleurothallis		"5263, 5264, 5265"			"J.M. Wubben, Hollandsche Rading"			22/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5265		Pleurothallis		"5263, 5264, 5265"			"J.M. Wubben, Hollandsche Rading"			22/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5284		Pleurothallis		"5284, 5285, 5286"	[Mexico]		"J.M. Wubben, Hollandsche Rading"			29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5285		Pleurothallis		"5284, 5285, 5286"	[Mexico]		"J.M. Wubben, Hollandsche Rading"			29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5286		Pleurothallis		"5284, 5285, 5286"	[Mexico]		"J.M. Wubben, Hollandsche Rading"			29/11	1975	L.Y.Th. Westra	"hab1, 2x det1"
5328		Pleurothallis		"5328, 5329, 5330"	[Peru]		"J.M. Wubben, Hollandsche Rading"			27/12	1975	L.Y.Th. Westra	"hab1, 2x det1"
5329		Pleurothallis		"5328, 5329, 5330"	[Peru]		"J.M. Wubben, Hollandsche Rading"			27/12	1975	L.Y.Th. Westra	"hab1, 2x det1"
5330		Pleurothallis		"5328, 5329, 5330"	[Peru]		"J.M. Wubben, Hollandsche Rading"			27/12	1975	L.Y.Th. Westra	"hab1, 2x det1"
5331		Pleurothallis		"5331, 5332, 5333"	[Peru]		"J.M. Wubben, Hollandsche Rading"			27/12	1975	L.Y.Th. Westra	"hab1, 2x det1"
5332		Pleurothallis		"5331, 5332, 5333"	[Peru]		"J.M. Wubben, Hollandsche Rading"			27/12	1975	L.Y.Th. Westra	"hab1, 2x det1"
5376		Pleurothallis		"5376, 5377, 5378, 5379, 5380"	[Panama]		"J.M. Wubben, Hollandsche Rading"		labellum I/II	31/01	1976	L.Y.Th. Westra	"hab1, 4x det1"
5377		Pleurothallis		"5376, 5377, 5378, 5379, 5380"	[Panama]		"J.M. Wubben, Hollandsche Rading"		labellum I/II	31/01	1976	L.Y.Th. Westra	"hab1, 4x det1"
5378		Pleurothallis		"5376, 5377, 5378, 5379, 5380"	[Panama]		"J.M. Wubben, Hollandsche Rading"		labellum I/II	31/01	1976	L.Y.Th. Westra	"hab1, 4x det1"
5379		Pleurothallis		"5376, 5377, 5378, 5379, 5380"	[Panama]		"J.M. Wubben, Hollandsche Rading"		labellum I/II	31/01	1976	L.Y.Th. Westra	"hab1, 4x det1"
5409		Pleurothallis		"5409, 5410, 5411, 5412"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		21/02	1976	L.Y.Th. Westra	"hab1, 3x det1"
5410		Pleurothallis		"5409, 5410, 5411, 5412"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		21/02	1976	L.Y.Th. Westra	"hab1, 3x det1"
5411		Pleurothallis		"5409, 5410, 5411, 5412"	[Suriname]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1975]"		21/02	1976	L.Y.Th. Westra	"hab1, 3x det1"
5469		Pleurothallis		"5469, 5470, 5471"			"J.M. Wubben, Hollandsche Rading"			13/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5470		Pleurothallis		"5469, 5470, 5471"			"J.M. Wubben, Hollandsche Rading"			13/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5471		Pleurothallis		"5469, 5470, 5471"			"J.M. Wubben, Hollandsche Rading"			13/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5472		Pleurothallis		"5472, 5473, 5474"			"hr. Cornelissen, Eindhoven"			20/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5473		Pleurothallis		"5472, 5473, 5474"			"hr. Cornelissen, Eindhoven"			20/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5474		Pleurothallis		"5472, 5473, 5474"			"hr. Cornelissen, Eindhoven"			20/03	1976	L.Y.Th. Westra	"hab1, 2x det1"
5475		Pleurothallis		"5475, 5476, 5477, 5478"			"J.M. Wubben, Hollandsche Rading"			20/03	1976	L.Y.Th. Westra	"hab1, 3x det1"
5476		Pleurothallis		"5475, 5476, 5477, 5478"			"J.M. Wubben, Hollandsche Rading"			20/03	1976	L.Y.Th. Westra	"hab1, 3x det1"
5797		Pleurothallis		"5797, 5798, 5799, 5800"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		18/09	1976	L.Y.Th. Westra	"hab1, 3x det1"
5798		Pleurothallis		"5797, 5798, 5799, 5800"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		18/09	1976	L.Y.Th. Westra	"hab1, 3x det1"
5799		Pleurothallis		"5797, 5798, 5799, 5800"	[Venezuela]		"J.M. Wubben, Hollandsche Rading"	"[J.M. Wubben, 1976]"		18/09	1976	L.Y.Th. Westra	"hab1, 3x det1"
6031		Pleurothallis		"6031, 6032, 6033, 6034"	[Peru]		"J.M. Wubben, Hollandsche Rading"			19/02	1977	L.Y.Th. Westra	"hab1, 3x det1"	Trichosalpinx
6032		Pleurothallis		"6031, 6032, 6033, 6034"	[Peru]		"J.M. Wubben, Hollandsche Rading"			19/02	1977	L.Y.Th. Westra	"hab1, 3x det1"	Trichosalpinx
6216		Pleurothallis		"6216, 6217"	[Peru]		"J.M. Wubben, Hollandsche Rading"			21/05	1977	L.Y.Th. Westra	"hab1, det1"
6217		Pleurothallis		"6216, 6217"	[Peru]		"J.M. Wubben, Hollandsche Rading"			21/05	1977	L.Y.Th. Westra	"hab1, det1"
6570		Pleurothallis		"6570, 6571, 6572, 6573"			"J.M. Wubben, Hollandsche Rading"			30/10	1977	L.Y.Th. Westra	"hab1, 3x det1"
6571		Pleurothallis		"6570, 6571, 6572, 6573"			"J.M. Wubben, Hollandsche Rading"			30/10	1977	L.Y.Th. Westra	"hab1, 3x det1"
6573		Pleurothallis		"6570, 6571, 6572, 6573"			"J.M. Wubben, Hollandsche Rading"			30/10	1977	L.Y.Th. Westra	"hab1, 3x det1"
6758		Pleurothallis		"6758, 6759, 6760"			"J.M. Wubben, Hollandsche Rading"			2-Nov	1978	L.Y.Th. Westra	"hab1, 2x det1"
6759		Pleurothallis		"6758, 6759, 6760"			"J.M. Wubben, Hollandsche Rading"			2-Nov	1978	L.Y.Th. Westra	"hab1, 2x det1"
6841		Pleurothallis		"6841, 6842, 6843"			"J.M. Wubben, Hollandsche Rading"			4-Jan	1978	L.Y.Th. Westra	"hab1, 2x det1"
6842		Pleurothallis		"6841, 6842, 6843"			"J.M. Wubben, Hollandsche Rading"			4-Jan	1978	L.Y.Th. Westra	"hab1, 2x det1"
6867		Pleurothallis		"6867, 6868, 6869"			"J.M. Wubben, Hollandsche Rading"			4-Aug	1978	L.Y.Th. Westra	"hab1, 2x det1"
6868		Pleurothallis		"6867, 6868, 6869"			"J.M. Wubben, Hollandsche Rading"			4-Aug	1978	L.Y.Th. Westra	"hab1, 2x det1"
